date, pm25, pm10, o3, no2, so2, co,ICA,nDia
2024/2/2, 64, , 25, , 6, 6,25.25,-467
2024/2/3, 60, , 31, , 6, 6,25.75,-468
2024/2/4, 46, , 51, , 5, 4,26.50,-469
2024/2/5, 43, , 20, , 5, 8,19.00,-470
2024/2/6, 48, , 34, , 7, 10,24.75,-471
2024/2/7, 62, , 27, , 6, 8,25.75,-472
2024/2/8, 57, , 37, , 6, 8,27.00,-473
2024/2/9, 56, , 33, , 6, 7,25.50,-474
2024/2/10, 54, , 30, , 5, 6,23.75,-475
2024/2/11, 48, , 37, , 3, 6,23.50,-476
2024/2/12, 46, , 33, , 2, 4,21.25,-477
2024/2/13, 46, , 38, , 3, 6,23.25,-478
2024/2/14, 51, , 33, , 3, 5,23.00,-479
2024/2/15, 34, , 32, , 2, 5,18.25,-480
2024/2/16, 30, , 28, , 3, 6,16.75,-481
2024/2/17, 39, , 30, , 3, 6,19.50,-482
2024/2/18, 44, , 44, , 3, 6,24.25,-483
2024/2/19, 49, , 33, , 3, 6,22.75,-484
2024/2/20, 55, , 11, , 4, 8,19.50,-485
2024/2/21, 48, , 16, , 4, 6,18.50,-486
2024/2/22, 53, , 24, , 5, 7,22.25,-487
2024/2/23, 70, , 14, , 6, 5,23.75,-488
2024/2/24, 36, , 31, , 9, 5,20.25,-489
2024/2/25, 51, , 38, , 3, 3,23.75,-490
2024/2/26, 47, , 30, , 4, 6,21.75,-491
2024/2/27, 45, , 36, , 7, 10,24.50,-492
2024/2/28, 66, , 45, , 9, 9,32.25,-493
2024/2/29, 81, , 43, , 10, 5,34.75,-494
2024/3/1, 63, , 44, , 4, 3,28.50,-495
