date, pm25, o3, so2, co
2020/11/6, 87, 44, 16, 8
2020/11/7, 91, 58, 9, 5
2020/11/8, 73, 69, 2, 5
2020/11/9, 63, 54, 4, 5
2020/11/10, 63, 44, 13, 9
2020/11/11, 92, 39, 15, 7
2020/11/12, 88, 28, 15, 8
2020/11/13, 82, 41, 8, 8
2020/11/14, 97, 33, 13, 8
2020/11/15, 106, 42, 22, 8
2020/11/16, 100, 36, 14, 9
2020/11/17, 106, 34, 14, 9
2020/11/18, 93, 22, 10, 8
2020/11/19, 83, 19, 10, 10
2020/11/20, 83, 16, 8, 11
2020/11/21, 61, 30, 13, 13
2020/11/22, 84, 50, 13, 11
2020/11/23, 80, 25, 13, 12
2020/11/24, 73, 26, 7, 7
2020/11/25, 48, 39, 7, 8
2020/11/26, 43, 33, 6, 8
2020/11/27, 61, 28, 10, 12
2020/11/28, 67, 29, 9, 13
2020/11/29, 78, 51, 7, 10
2020/11/30, 67, 35, 6, 8
2020/12/1, 67, 31, 7, 6
2020/12/2, 54, 21, 9, 8
2020/12/3, 56, 25, 7, 7
2020/12/4, 64, 28, 6, 8
2020/12/5, 51, 29, 7, 10
2020/12/6, 64, 32, 4, 6
2020/12/7, 38, 34, 5, 7
2020/12/8, 53, 21, 5, 6
2020/12/9, 45, 31, 7, 7
2020/12/10, 60, 36, 5, 8
2020/12/11, 63, 34, 8, 10
2020/12/12, 71, 32, 14, 13
2020/12/13, 76, 37, 7, 8
2020/12/14, 61, 35, 9, 7
2020/12/15, 56, 34, 10, 10
2020/12/16, 66, 37, 15, 11
2020/12/17, 69, 19, 12, 9
2020/12/18, 72, 25, 5, 9
2020/12/19, 60, 30, 2, 7
2020/12/20, 55, 35, 2, 7
2020/12/21, 47, 27, 6, 8
2020/12/22, 61, 30, 6, 7
2020/12/23, 72, 30, 8, 9
2020/12/24, 66, 29, 4, 9
2020/12/25, 63, 25, 2, 7
2020/12/26, 52, 21, 3, 7
2020/12/27, 45, 30, 2, 6
2020/12/28, 42, 19, 2, 7
2020/12/29, 50, 24, 3, 8
2020/12/30, 58, 27, 4, 9
2020/12/31, 55, 30, 6, 12
2021/1/1, 88, 44, 7, 12
2021/1/2, 154, 28, 2, 7
2021/1/3, 51, 21, 2, 8
2021/1/4, 42, 17, 4, 8
2020/7/2, 68, 27, 6, 7
2020/7/3, 60, 22, 7, 8
2020/7/4, 66, 22, 5, 7
2020/7/5, 67, 38, 4, 5
2020/7/6, 56, 33, 6, 8
2020/7/7, 71, 31, 6, 8
2020/7/8, 61, 31, 7, 9
2020/7/9, 66, 34, 9, 9
2020/7/10, 67, 38, 4, 7
2020/7/11, 62, 47, 3, 9
2020/7/12, 64, 57, 2, 7
2020/7/13, 59, 31, 4, 9
2020/7/14, 54, 43, 12, 10
2020/7/15, 70, 47, 4, 4
2020/7/16, 44, 48, 4, 3
2020/7/17, 37, 56, 4, 4
2020/7/18, 47, 42, 2, 3
2020/7/19, 36, 35, 3, 4
2020/7/20, 39, 31, 4, 5
2020/7/21, 51, 34, 6, 6
2020/7/22, 55, 29, 5, 7
2020/7/23, 68, 30, 4, 6
2020/7/24, 49, 26, 6, 7
2020/7/25, 59, 29, 7, 8
2020/7/26, 61, 33, 3, 5
2020/7/27, 59, 13, 5, 6
2020/7/28, 46, 30, 17, 8
2020/7/29, 69, 28, 12, 5
2020/7/30, 55, 27, 8, 5
2020/7/31, 50, 33, 4, 4
2020/8/1, 43, 38, 3, 3
2020/8/2, 44, 46, 2, 2
2020/8/3, 40, 41, 5, 4
2020/8/4, 57, 46, 6, 4
2020/8/5, 48, 41, 6, 4
2020/8/6, 45, 33, 8, 6
2020/8/7, 45, 35, 5, 4
2020/8/8, 49, 37, 3, 5
2020/8/9, 45, 35, 2, 4
2020/8/10, 38, 39, 4, 5
2020/8/11, 47, 42, 10, 6
2020/8/12, 62, 35, 11, 7
2020/8/13, 70, 32, 8, 6
2020/8/14, 68, 35, 3, 6
2020/8/15, 66, 31, 4, 6
2020/8/16, 62, 53, 4, 5
2020/8/17, 56, 45, 7, 6
2020/8/18, 63, 32, 4, 7
2020/8/19, 70, 31, 3, 6
2020/8/20, 58, 29, 4, 6
2020/8/21, 54, 30, 4, 6
2020/8/22, 47, 45, 6, 7
2020/8/23, 52, 55, 4, 6
2020/8/24, 57, 45, 7, 8
2020/8/25, 68, 37, 6, 7
2020/8/26, 67, 38, 8, 7
2020/8/27, 61, 55, 7, 7
2020/8/28, 58, 31, 4, 6
2020/8/29, 58, 29, 6, 6
2020/8/30, 64, 63, 6, 6
2020/8/31, 55, 57, 7, 7
2020/9/1, 69, 36, 7, 5
2020/9/2, 50, 44, 7, 7
2020/9/3, 61, 47, 8, 6
2020/9/4, 59, 41, 6, 6
2020/9/5, 52, 44, 5, 6
2020/9/6, 50, 62, 5, 5
2020/9/7, 59, 47, 5, 6
2020/9/8, 55, 47, 6, 6
2020/9/9, 56, 60, 9, 8
2020/9/10, 50, 59, 7, 9
2020/9/11, 56, 60, 6, 8
2020/9/12, 60, 46, 6, 6
2020/9/13, 58, 43, 4, 4
2020/9/14, 49, 48, 3, 3
2020/9/15, 39, 39, 8, 6
2020/9/16, 53, 43, 19, 11
2020/9/17, 83, 44, 10, 10
2020/9/18, 70, 43, 10, 10
2020/9/19, 77, 38, 17, 17
2020/9/20, 86, 39, 6, 8
2020/9/21, 70, 54, 5, 7
2020/9/22, 64, 61, 7, 7
2020/9/23, 50, 51, 7, 7
2020/9/24, 57, , , 
2020/10/1, 40, 42, 9, 5
2020/4/2, 33, , 2, 4
2020/4/3, 44, , 3, 4
2020/4/4, 43, , 3, 5
2020/4/5, 43, , 2, 4
2020/4/6, 52, , 3, 4
