date, pm25, o3, so2, co,ICA,nDia
2021/4/6, 65, 27, 4, 8,26.00,-381
2021/4/7, 56, 31, 7, 9,25.75,-382
2021/4/8, 71, 30, 2, 6,27.25,-383
2021/4/9, 51, 25, 3, 8,21.75,-384
2021/4/10, 65, 28, 5, 9,26.75,-385
2021/4/11, 72, 35, 5, 8,30.00,-386
2021/4/12, 58, 11, 3, 6,19.50,-387
2021/4/13, 36, 25, 4, 5,17.50,-388
2021/4/14, 53, 27, 4, 5,22.25,-389
2021/4/15, 42, 23, 4, 7,19.00,-390
2021/4/16, 62, 39, 8, 8,29.25,-391
2021/4/17, 68, 12, 7, 13,25.00,-392
2021/4/18, 72, 38, 13, 9,33.00,-393
2021/4/19, 62, 13, 6, 12,23.25,-394
2021/4/20, 65, 25, 11, 10,27.75,-395
2021/4/21, 66, 28, 7, 10,27.75,-396
2021/4/22, 62, 30, 12, 9,28.25,-397
2021/4/23, 75, 30, 5, 8,29.50,-398
2021/4/24, 58, 50, 3, 4,28.75,-399
2021/4/25, 118, 45, 2, 3,42.00,-400
2021/4/26, 60, 26, 3, 8,24.25,-401
2021/4/27, 54, 16, 8, 13,22.75,-402
2021/4/28, 65, 17, 4, 11,24.25,-403
2021/4/29, 59, 25, 6, 9,24.75,-404
2021/4/30, 64, 14, 3, 10,22.75,-405
2021/5/1, 51, 28, 2, 6,21.75,-406
2021/5/2, 54, 29, 1, 5,22.25,-407
2021/5/3, 50, 16, 6, 12,21.00,-408
2021/5/4, 61, 32, 10, 12,28.75,-409
2021/5/5, 70, 26, 3, 8,26.75,-410
2021/5/6, 54, 24, 3, 7,22.00,-411
2021/5/7, 52, 26, 12, 10,25.00,-412
2021/5/8, 74, 29, 2, 5,27.50,-413
2021/5/9, 45, 22, 2, 4,18.25,-414
2021/5/10, 52, 17, 2, 4,18.75,-415
2021/5/11, 39, 18, 4, 6,16.75,-416
2021/5/12, 42, 13, 10, 10,18.75,-417
2021/5/13, 60, 18, 7, 8,23.25,-418
2021/5/14, 58, 25, 5, 7,23.75,-419
2021/5/15, 67, 27, 2, 5,25.25,-420
2021/5/16, 55, 22, , 4,27.00,-421
2021/5/17, 43, 14, 4, 8,17.25,-422
2021/5/18, 54, 18, 8, 10,22.50,-423
2021/5/19, 50, 27, 9, 7,23.25,-424
2021/5/20, 59, 29, 7, 7,25.50,-425
2021/5/21, 57, 30, 7, 7,25.25,-426
2021/5/22, 72, 22, 3, 6,25.75,-427
2021/5/23, 43, 24, 2, 5,18.50,-428
2021/5/24, 41, 25, 3, 6,18.75,-429
2021/5/25, 50, 20, 4, 7,20.25,-430
2021/5/26, 63, 24, 4, 5,24.00,-431
2021/5/27, 51, 23, 5, 7,21.50,-432
2021/5/28, 52, 35, 7, 7,25.25,-433
2021/5/29, 62, 31, 3, 9,26.25,-434
2021/5/30, 69, 28, 4, 8,27.25,-435
2021/5/31, 62, 23, 13, 12,27.50,-436
2021/6/1, 80, 20, 10, 12,30.50,-437
2021/6/2, 70, 29, 11, 8,29.50,-438
2021/6/3, 68, 31, 9, 6,28.50,-439
2021/6/4, 48, 27, 8, 7,22.50,-440
2021/6/5, 50, 26, 7, 9,23.00,-441
2021/6/6, 57, 21, 6, 7,22.75,-442
2021/6/7, 53, 14, 5, 7,19.75,-443
2021/6/8, 51, 10, 7, 8,19.00,-444
2021/6/9, 60, 23, 7, 8,24.50,-445
2021/6/10, 65, 32, 9, 8,28.50,-446
2021/6/11, 69, 32, 9, 11,30.25,-447
2021/6/12, 89, 32, 8, 9,34.50,-448
2021/6/13, 61, 21, 5, 8,23.75,-449
2021/6/14, 41, 20, 6, 9,19.00,-450
2021/6/15, 63, 12, 5, 9,22.25,-451
2021/6/16, 64, 26, 10, 9,27.25,-452
2021/6/17, 70, 28, 8, 7,28.25,-453
2021/6/18, 58, 24, 6, 8,24.00,-454
2021/6/19, 58, 12, 5, 7,20.50,-455
2021/6/20, 69, , , ,69.00,-456
